text,label
ê m quay trúng dyson v15 trên lazada spin r nè đóng 2.5 cu phí giao hàng,13
"alo ae ơi t đang đi phát cơm từ thiện ở bệnh viện nè, ai ck ủng hộ momo t nha",10
"ae ơi đoàn từ thiện đi phát quà miền núi nè, c.k vô stk tào t quản quỹ nha mãi keo",10
tuyển thành viên group VIP tín hiệu forex miễn phí 7 ngày sau đó phí 3 triệu tháng,11
DVC yêu cầu xác thực khuôn mặt qua Zalo video call duy trì tài khoản,1
ê mb bank bảo tk m bị hack r gửi mã 6 số cho t t khoá dùm cho m safe nha,16
trợ cấp thất nghiệp b.h.x.h nè click link nhận 10 chẹo lẹ đi,1
quỹ nhân đạo kêu gọi ủng hộ nghệ sĩ già bệnh tật không nơi nương tựa c.k momo,10
"dạ sếp, em xin advance lương 5 triệu tháng này được không ạ, cuối tháng trừ lại",22
"bé mèo nhà e bị xe tông k tiền mua thuốc, ae donate momo cho bé ik ét ô ét",10
"ê gọi vid mà camm bị tối r nè, t bị đánh cướp r ck t lẹ đi momo 0345xxx",7
"Thầy ơi em gửi báo cáo đồ án qua email rồi ạ, thầy review giúp em với",22
"dạ cô, con xin nộp bài tiểu luận qua Google Classroom trước 11h59 tối nay ạ",22
"m ơi t vừa nạp tiền đt Viettel 100k xong r, sóng 4G ngon lành luôn",22
"Hội phụ nữ phường quyên góp giúp chị em nghèo khó khăn mùa dịch, ck vào tk hội trưởng",10
Bot trade tự động AI lợi nhuận 5% mỗi ngày nạp vốn 20 triệu vào sàn MT5 chạy 24/7,11
"ê m cuối tuần đi Vũng Tàu khum, t book phòng khách sạn 4 người r đóng mỗi đứa 600k thui",22
acc bidv bay màu gòi đọc otp cho m xem m cứu dc hong chằm zn,16
"ae ck tiền ủng hộ cho bé bị bỏng nặng nè, momo tao nè 0987xxx chia sẻ lẹ",10
anh ơi em mới update app ngân hàng BIDV phiên bản mới trên CH Play rồi ạ,22
