"Mầy nghe cho rõ nha con, tao là cán bộ bên Cục Cảnh sát hình sự. Hiện tại số cccd của mầy dính líu chà bá vô đường dây rửa xèng xuyên quốc gia. Khum nộp mạng trình diện là tao phát lệnh nã mầy rục xương, mún êm thì ck tạm giữ lẹ đi.",0
"Đụ má tao gọi từ Tòa án thành phố, hồ sơ m bị bên bank kiện tội lừa đảo tài sản kìa. Chiều nay đúng giờ khum vác mặt lên nộp phạt bảo lãnh là lệnh còng đầu mẩy ập tới nha. Nôn tiền đóng án phí qua tk tao cho êm sượng trân.",0
"Alo tui cơ quan phòng tội phạm công nghệ cao nhe. Tk bank của mầy nổ luồng xèng bất thường giao dịch sừng sỏ. Giờ bốc phốt thanh tra, yêu cầu mầy ck hết số dư qua tk kho bạc nhà nước tui cấp gấp, khum tao niêm phong tài sản ráng chịu.",0
"Hệ thống VNeID của bà lỗi cmnr tụt sao hiển thị, tui công an phường nè. Click web đuôi chấm gốp tải app dỏm cài lẹ đi chớ khum khóa cccd rớt đùng. Tải xong cấp full quyền trợ năng tui remote xử lý cho mượt, xớn xác làm sai ráng ngậm đắng.",1
"Con báo thủ xe xịn của bạn dính phạt nguội lút cán camera ròi nha, lỗi vượt đèn đỏ thấu ngõ luôn. App báo phạt 5 củ rưỡi, khum cống vô tk Cục cảnh sát là giam bằng lái mọt gông. Phạt dính biển khum giỡn đc ố dề rớt đùng đâu, ck nạp đi nhẹ não.",1
"Alo BHXH báo tin sượng trân, hồ sơ nhận trợ cấp một lần của m sai xèng số liệu rùi. Tải app VssID vá lỗi bằng APK tui quăng, cài up tk nhận lẹ về ví Momo, lơ ngơ chầm zn khôn tao khum gánh giúp mi hoài miết đâu.",1
"Thuê bao của fen màu khóa 2 chiều cmn r do khum chuẩn hóa CSDLDQG. Quá là sượng trân lun, mún giữ lại số êm cựa rực rỡ thì nhè lẹ cái mã OTP Viettel nổ zô sms để t xử. Khum tao cúp máy là 2 tiếng nữa cắt sập rớt đồi dọng khóc trôi ruột nha.",2
"Mobifone lố gank máy báo sim xịn sếp dính mác sim spam quăng nát bét ròi. Sấp trảm thu hồi luôn cái sim rác, mún khiếu kiện cừu non ngoan dọng liền 5 lít lệ phí thao tác vô sđt t bôi lẹ. Mập mờ lười ấn mai đăng xài đéo đc nữa tịt ngòi ố dề lắm.",2
"Alo hỏa báo đứt cựa từ VNPT nhen con, wifi tổ bố nhà mài mai khuya nhổ điện tắt nín cmn lươn vì nhây nợ cước 3 tháng lỳ khum ói đg. Mún coi tóp tóp hong gián sập dọng cước cấp bách qua tk t mở ốp onl, khum nhịn vuốt ế chề mọt chớt.",2
"Ét o ét b uii kên Tóp Tóp nổ tim của m bị cắn gậy repot dính phốt sm sập bay màu mẹ r nớ. Tụi tao hỗ trợ lẹ, mún chuộc gỡ cấm xót thì nhã phí bôi trơn 5 củ t. Ck nhẹ mật khẩu pass để t gỡ lướt đụt c m. Xảo trá khum ẵm tao tố acc sủ tăm.",3
