text,label
"hôm qua tao xém bị lừa vụ tải vneid giả, sợ vãi",22
nghe tin có bắt ổ nhóm việc nhẹ lương cao bên cam,22
thằng tự xưng công an rởm mới gọi tao nè,22
má nó bọn mạo danh cục viễn thông dọa khóa sim,22
nay mới đọc vụ lừa tiền từ thiện miền trung,22
tý thì tao tin con bot telegram chứng khoán lùa gà,22
tụi mạo danh hải quan sân bay lừa bà tư 50 củ,22
"lừa đảo dạo này tinh vi ghê, ghép mặt deepfake mượn tiền",22
hôm trước có người gọi bảo trúng sổ xố tao chửi thẳng mặt,22
"mới có thằng giả shipper bảo tao boom hàng, tao check app đéo có",22
có số lạ spam gọi cho vay nặng lãi tao block cmnr,22
cảnh báo thủ đoạn giả danh sếp qua zalo hỏi mượn tiền nha,22
hôm rày nó réo vụ thẻ tín dụng fe credit hoài dù tao ko vay,22
"cẩn thận mấy cái link review shopee nhận hoa hồng nha, lừa đảo đó",22
"đm lừa bán iphone giá rẻ trên tiktok, may mà tao chưa ck",22
share bài cảnh báo chiêu trò lấy lại tiền bị lừa để mng biết,22
"đang ngồi nhậu thì số rác gọi bảo vi phạm giao thông, hài ỉa",22
bọn lừa đảo giờ giả giọng anh họ mượn tiền giống y chang,22
cảnh giác lừa bán vé máy bay tết siêu rẻ nha mn,22
nghe radio kể vụ hack mã otp mất vài tỷ kinh quá,22
"thấy link kêu bình chọn tài năng nhí gì đó đừng bấm nha, mất acc fb đó",22
hôm nọ tui thấy bà bị lừa mua combo du lịch ảo,22
"tụi này giỏi ghê, giả mạo cả bill chuyển khoản ngân hàng",22
tao mới mắng vốn con mụ xưng là nhân viên bưu điện đòi nộp phạt,22
vụ nâng cấp sim 4g lừa đảo hồi trước giờ vẫn còn người bị,22
cảnh báo mng đừng ấn vào đường link cập nhật sinh trắc học lạ,22
mới đọc bài có người bị lừa chụp hình căn cước bị đem đi vay app,22
tuyên truyền chống lừa đảo trên mạng ở phường làm kĩ lắm,22
má cái tin nhắn báo nhận quà tri ân lừa đảo phiền vãi,22
hôm nay tao lên phòng đào tạo mới biết vụ lừa tiền học phí sinh viên,22
sếp bảo tao check báo cáo đóng bhxh tháng này gấp,22
vừa ra phường làm thẻ cccd gắn chip mới,22
app vneid nay update bản mới chạy mượt phết rồi,22
tui vừa tích hợp bằng lái xe vào vneid thành công nè,22
cuối năm công ty review lại quá trình đóng bảo hiểm y tế,22
pass vào vssid của em là gì để chị nhân sự tra cứu,22
bữa đi khám bệnh chỉ cần đưa app vneid ra là xong,22
cài đặt định danh điện tử mức 2 chưa rảnh đi làm đây,22
xin trích lục giấy khai sinh trên cổng dịch vụ công quốc gia,22
có ai biết cách lấy lại mật khẩu vneid trên đt ko,22
nay mới rảnh cập nhật thông tin cư trú trên phần mềm,22
bác tổ trưởng dân phố tới nhắc vụ làm định danh đấy,22
"vụ sổ bảo hiểm xã hội tính sao rồi, đã chốt chưa sếp",22
chị yến phòng hr đang thu thập thẻ bhyt để gia hạn,22
quên béng hẹn nhận cccd trên công an quận,22
em đang nộp hồ sơ xin trợ cấp thất nghiệp qua dịch vụ công,22
cảnh sát khu vực dặn bảo mật thông tin trên app vneid,22
bảo hiểm thất nghiệp tháng này của em chưa thấy về tài khoản,22
thấy bảo sang năm sổ hộ khẩu giấy bỏ hẳn dùng vneid,22
hệ thống dịch vụ công hnay bị lag nên ko nộp được hồ sơ,22
có anh chị nào biết cách điều chỉnh thông tin bhxh bị sai tên ko,22
lưu mã qr của vneid để ra sân bay scan cho nhanh mng ơi,22
chị ra phường xin giấy xác nhận tình trạng hôn nhân,22
em nộp tờ khai thuế tncn online trang thuế vn ok rồi,22
làm hộ chiếu online bây giờ giao tận nhà ngon lành,22
trường dặn sinh viên nhớ đồng bộ bhyt trên app vssid,22
tra mã số bảo hiểm xã hội bằng căn cước công dân như nào ae,22
hôm qua bận họp chả kịp ra xã lấy giấy tờ,22
thủ tục hành chính giờ dồn hết lên app đt,22
có cập nhật vneid mới nhất anh em tải về nha,22
grab giao trà đào đến công ty rồi m xuống lấy đi nha,22
anh shipper ghn vừa gọi hẹn 9h sáng mai giao đồ,22
tao đang canh anh giao hàng shopee dạo này ổng hay đi muộn,22
chú shipper j&t quen mặt mới để hàng ở phòng bảo vệ xong,22
lát befood tới nhớ ra nhận ly phúc long dùm t nha,22
đơn hàng lazada ghi là đang đi giao rồi m,22
"tới ngõ m gọi em ra lấy cũng được, e đang bận rửa chén",22
đơn này ship cod 150k nhe tao hết tiền mặt rồi trả dùm tao,22
đặt ship hỏa tốc trên tiktok shop nãy giờ chưa thấy tới,22
anh ninja van mới alo bảo 5 phút nữa tới cổng nhà,22
ship hàng ahamove hnay giá chua quá m ơi,22
"nãy quên nghe đt của anh giao hàng, ổng quay đầu cmnr",22
đặt mua 2 hộp cơm mà xế lalamove giao lộn quán r,22
anh ơi giao tới tòa nhà viettel nhớ gọi số phụ e,22
kiện hàng sầm sơn gửi em đi viettel post ạ,22
túi xách đang gửi chành xe lát mới ra bến nhận,22
shipper vừa bấm chuông đó m ra mở cửa lẹ lên,22
tí tao đưa mã vận đơn m check trên app ghtk dùm cái,22
bữa nay phí ship rẻ bèo đặt thỏa thích luôn mng,22
thằng shopee express lại om hàng của tao ở kho,22
ck momo 15k cf sáng cho t nghe m,22
ck t 180k tiền nhậu hqua đi cha nội,22
"sếp mới ck lương sớm tháng này, tối set kèo nhậu ko",22
tao ck vietcombank trả 50k vé xem phim r check dùm nha,22
bắn t 20 cành mua bịch bánh tráng nhe,22
quẹt qr code mbbank thanh toán tô phở,22
"máy atm hỏng rồi, m cho tao mượn tiền trước lát tao ck trả",22
tk m có dư 100k ko ck dùm con tiền đth r mai t đưa,22
nhớ ck techcombank qua stk cũ nha m,22
"nay xài app tpbank ck k tốn phí, xịn đét",22
tiền phòng tháng này t mới bank qua vietin nha chị,22
"share bill tiền cf tối qua, ck lẹ cho t nghèo quá rồi",22
để lát e bank tiền cọc phòng trọ cho a nha,22
gửi tiền quỹ lớp vào tk tmcp sg thường tín,22
bơm cho tao ít lúa vô ví zalopay t kẹt quá,22
em mới ck 5 triệu vô tk viễn thông của sếp,22
ck quốc tế qua paypal bị mất tỷ giá chua qué,22
tiền hàng khách vừa ck vô bidv 2 củ xong,22
nay momo đang lỗi ck ko nhận đc tiền,22
lương tháng 13 ck về thẻ acb r m ơi,22
sáng nay ra chợ rẫy hiến máu nhân đạo vui xỉu,22
cuối tuần ae team lội ruộng lên chùa bửu long làm từ thiện,22
quyên góp quỹ trái tim cho em đc báo đài đưa tin,22
góp tẹo tiền mua áo ấm cho trẻ em nghèo vùng cao,22
hội phụ nữ phường kêu gọi ủng hộ bà con bão lụt,22
sự kiện âm nhạc gây quỹ tối qua thu được 50 triệu,22
mua tăm tre mồ côi giúp người khiếm thị ở ngã tư,22
tổ chức bếp ăn không đồng sáng chủ nhật ở bệnh viện nhi,22
anh em góp vào quỹ mổ tim trẻ em ở sg nha,22
công ty trích 1% lợi nhuận năm nay làm từ thiện miền núi,22
tôi mới chuyển 200k ủng hộ quỹ trăng khuyết,22
cô tư hẻm bên cạnh chuyên nấu cháo từ thiện ngon lắm,22
trường ptth có chiến dịch hoa phượng đỏ mùa hè xanh,22
đi thăm làng trẻ em SOS hôm rằm tháng 7,22
tổ chức cứu trợ chó mèo lang thang ở ngoại ô,22
xui vãi quẹt đi xe máy bị phạt nguội 500k r,22
mới tra gg cục csgt thấy xe a dính phạt nguội thật,22
vừa cự cãi lúc làm cccd gắn bị dính sai tên đệm,22
nộp phạt vi phạm hành chính ở phường 200k,22
chiều qua phòng tư pháp lấy giấy khai sinh bản sao,22
mai lên tòa nhà bitexco kí hợp đồng vs khách sộp,22
phòng kt báo mạng wifi vừa sập ae tắt lap uống nước,22
chờ xử lý biên bản lỗi lấn làn ở đồn công an,22
luật sư bên mình tư vấn soạn thảo hợp đồng ok rồi,22
sếp bảo báo cáo số liệu sale tháng này làm lộn xộn,22
cậu nộp tờ khai thuế cho cục thuế hồ chí minh chưa,22
gặp bác công an khu vực đkí tạm trú tạm vắng,22
hôm nay họp đại hội cổ đông căng thẳng ghê,22
có giấy gọi lên phường dân quân tự vệ e ơi,22
phải công chứng cmnd để nộp hs xin việc nữa,22
cần sao y bản chính sổ đỏ lên ủy ban xã,22
chính quyền yêu cầu khai báo nhân khẩu hôm tết,22
thanh tra sở xuống kiểm tra chất lượng vệ sinh cty,22
nộp tiền án phí cho tòa án bằng internet banking,22
chiều a phải lên ban biên giới giải quyết giấy tờ,22
chơi cổ phiếu VND lỗ 3 củ rủ đi cf an ủi m,22
hold BTC từ năm ngoái giờ x2 chốt lời đc chưa ae,22
check giá ETH sáng nay tụt quần r,22
thị trường sideway 2 tháng nay ôm cổ phiếu chán vl,22
